Delivery,DriveThrough,Parking,Wlan,address,map_url,name
,,パーキング,無線LAN,宮城県仙台市宮城野区大梶7-10,//map.yahoo.co.jp/maps?lat=38.2688644&lon=140.9038314&hlat=38.2688644&hlon=140.9038314&z=16&datum=tky&home=on,セラビ幸町店
,,,,宮城県仙台市宮城野区宮城野2-11-6,//map.yahoo.co.jp/maps?lat=38.2541487&lon=140.9062118&hlat=38.2541487&hlon=140.9062118&z=16&datum=tky&home=on,楽天生命パーク宮城店
,,パーキング,,宮城県仙台市宮城野区榴岡5-10-10,//map.yahoo.co.jp/maps?lat=38.2544423&lon=140.8990133&hlat=38.2544423&hlon=140.8990133&z=16&datum=tky&home=on,コープ榴ヶ岡店
,ドライブスルー,パーキング,無線LAN,宮城県仙台市若林区六丁の目南町8-1,//map.yahoo.co.jp/maps?lat=38.2476584&lon=140.9425035&hlat=38.2476584&hlon=140.9425035&z=16&datum=tky&home=on,仙台六丁の目店
,,パーキング,無線LAN,宮城県仙台市太白区長町7-20-3 ,//map.yahoo.co.jp/maps?lat=38.2227997&lon=140.8802053&hlat=38.2227997&hlon=140.8802053&z=16&datum=tky&home=on,ザ・モール仙台長町店
,ドライブスルー,パーキング,,宮城県仙台市太白区鈎取本町1-21-4,//map.yahoo.co.jp/maps?lat=38.2158667&lon=140.8403006&hlat=38.2158667&hlon=140.8403006&z=16&datum=tky&home=on,ルート286鈎取店
,ドライブスルー,パーキング,無線LAN,宮城県仙台市泉区泉中央4-10-1 ,//map.yahoo.co.jp/maps?lat=38.3191028&lon=140.8887425&hlat=38.3191028&hlon=140.8887425&z=16&datum=tky&home=on,仙台泉中央店
,ドライブスルー,パーキング,,宮城県仙台市泉区長命ケ丘３−２７−１,//map.yahoo.co.jp/maps?lat=38.3063423&lon=140.8466439&hlat=38.3063423&hlon=140.8466439&z=16&datum=tky&home=on,長命ヶ丘店
,ドライブスルー,パーキング,無線LAN,岩手県盛岡市津志田南1丁目1-45,//map.yahoo.co.jp/maps?lat=39.6553569&lon=141.1640119&hlat=39.6553569&hlon=141.1640119&z=16&datum=tky&home=on,都南店
,,パーキング,無線LAN,岩手県盛岡市本宮7-1-1,//map.yahoo.co.jp/maps?lat=39.6807769&lon=141.1321678&hlat=39.6807769&hlon=141.1321678&z=16&datum=tky&home=on,イオンモール盛岡南店
